,0,0
730,"

India is an investment priority for Saudi Aramco, the chief executive of the Saudi oil giant Amin Nasser said on Wednesday in New Delhi, noting that Aramco is in talks with India’s biggest refining and petrochemicals company Reliance Industries for potential investments and is looking at other opportunities as well.Saudi Arabia, OPEC’s largest producer and the world’s top crude oil exporter, is looking to secure off-take deals for its crude in the strategic fast-growing Indian oil market in Asia, and is also heavily investing in the refining and petrochemicals at home and abroad.



“India is an investment priority for Saudi Aramco. India takes from us almost 800,000 barrels a day and by 2040 India’s total consumption will be around 8.2 million barrels per day,” Reuters quoted Aramco’s CEO Nasser as saying at a panel in New Delhi during the one-day visit of Saudi Crown Prince Mohammed bin Salman to India.India’s current demand is around 4.7 million bpd and the country is the world’s third-largest oil consumer.



In June last year, Saudi Aramco and the Abu Dhabi National Oil Company (ADNOC) signed a framework agreement and a memorandum of understanding with a consortium of Indian national oil companies to join a project for a mega refinery and petrochemical complex in India worth US$44 billion. However, the huge project has faced setbacks because farmers have been unwilling to give up their land for the site of the plant, and earlier this week the Maharashtra state announced that the project would be relocated to another site.Saudi Aramco is willing to invest in other projects in India, Nasser said on Wednesday, noting that the oil giant is in talks with Indian companies, including Reliance Industries.“We are looking at it. We are not limited to that investment which is the mega refinery,” Nasser said, referring to the US$44-billion project. By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Morgan Stanley: New Oil Discovery Could Spur China’s Shale BoomWhy The Oil Rally Isn’t Over YetWhere Will Putin Build His Next Gas Pipeline?


",
731,"

Commonwealth LNG has struck purchase commitments with European clients for almost half the annual capacity of its liquefaction plant in Louisiana, Reuters reports, quoting chief executive Paul Varello. The total capacity of the facility is 8.4 million tons of LNG per year.“We are exchanging documents with counterparties that will represent three to four million tonnes” Varello said in an interview. The executive added, “We have to work hard to get closer to the full 8 million tonnes in heads of agreements to allow us to feel good about getting 6 million tonnes in final agreements.”



The company is promising prices of less than US$2.50 per million British thermal units under long-term contracts of 20 years. Europe is a natural focal point for future LNG supplies from the new liquefaction terminals currently under construction in the United States, but purchase commitments need to be secured in advance so the companies building the facilities get the loans they need to build the projects.The Louisiana facility has yet to get the final investment decision of Commonwealth, which should happen by the third quarter or the end of 2020, after which construction will begin. Launch of the project is scheduled for 2024.



Long-term contracts have become difficult to secure in LNG because of the abundance of fuel on spot markets and the price sensitivity as more and more liquefaction terminals come on stream in places like Australia and Russia, as well as in Africa. Yet LNG producers need long-term commitments from buyers to get the funds they need to build the facilities.In the United States, some 10 new LNG plants are being planned or are already under construction as the shale boom has boosted the availability of cheap natural gas to be liquefied and sent to international markets, with a focus on Europe and Asia.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Bank Of America: Oil ‘Anchored’ Until 2024Amazon To Invest In Electric Pickups, SUVsDoes Saudi Arabia Really Have As Much Oil As Analysts Think?


",
732,"

Alberta has increased its bet on oil-by-rail transportation in the absence of new pipeline projects moving ahead, and will now lease 4,400 new rail cars to move more of its heavy crude south. The new rail transport capacity will add 120,000 bpd to the daily rate of shipments from Canada’s oil province.“This is something that is fundamentally important to improving the return that all Albertans get on our important energy resources,” Alberta Premier Rachel Notley told media, as quoted by the Calgary Herald.



The lease will cost US$2.8 billion (C$3.7 billion) over three years but it is expected to result in a US$4.47-billion (C$5.9-billion) increase in oil royalties for the province as well as taxes, and commercial revenues over the same period.There seems to be a unanimous agreement that increasing oil shipments by rail is not the ultimate solution, rather just a temporary one. However, the ultimate solution, at least according to oil industry proponents, is building pipelines, which doesn’t seem to be happening at the moment because of the strong opposition.



Among the other options Premier Notley’s government has considered was the construction of a new refinery in Alberta so more of the heavy crude produced in the province could be refined locally instead of exported, but this, too, has doubtful benefits.Alberta has four refineries at present, with a combined refining capacity of 475,000 bpd. There are also two other specialized diesel-producing facilities that can refine 110,000 bpd of crude. A new refinery would indeed serve to stabilize prices of Canadian crude, but there is one problem: a refinery cannot be built in a month, or even in a year. What’s more, some experts argue that Canada’s oil province already has too much refining capacity and the only solution to its price problem are more pipelines. By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Morgan Stanley: New Oil Discovery Could Spur China’s Shale BoomWhere Will Putin Build His Next Gas Pipeline?Oil Prices Nearing Breakout Levels


",
733,"

TransCanada has restarted a section of its Keystone oil pipeline that was shut down after a leak of about 43 barrels of crude occurred in Missouri earlier this month, Reuters reports, citing TransCanada spokesman Terry Cunha.The Keystone pipeline transports some 600,000 bpd of crude oil from Alberta to Illinois and the shutdown reduced the flow to 590,000 bpd.



The leak will likely serve to reinforce opposition to new pipeline projects on both sides of the border, especially since a couple of years ago a Reuters report revealed that the Keystone pipeline had leaked more often and higher amounts than TransCanada had calculated in its risk assessment submitted to U.S. regulators before the pipeline began operation nine years ago.In the seven years between 2010 and 2017, when the report came out, the Keystone network from Alberta to Texas had experienced three major leaks, of which the biggest was of 5,000 barrels that occurred in South Dakota late November 2017, and two of about 400 barrels each in North Dakota in 2011 and South Dakota in 2016.



The controversial Keystone XL pipeline was planned to expand the original Keystone network but it seems its future has been called into question again: earlier this month, District Judge Brian Morris banned the company from conducting some preliminary construction work on the project although it allowed it some other activities such as preparing storage and container yards and taking deliveries of pipelines. It cannot, however, prepare sights for construction camps as the lawsuit launched by Native American tribes and environmentalists against the company continues.The 830,000 bpd pipeline will run from the Albertan oil sands through Montana and South Dakota, ending in Nebraska, where it would connect to the existing pipeline network that goes on to the Gulf Coast as long as the court approves the new environmental impact assessment it ordered the State Department to make. By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Will The U.S. Actively Pursue Regime Change In Iran?Where Will Putin Build His Next Gas Pipeline?Oil Prices Nearing Breakout Levels


",
734,"

Iranian crude oil exports in January were higher than expected, while February shipments so far have been holding steady or even higher compared to last month, as several of Iran’s customers are using up their U.S. sanction waivers to continue importing Iranian oil, Reuters reported on Tuesday, citing industry sources and shipping data.According to tanker-tracking data from Refinitiv Eikon and a source at a company tracking Iranian oil flows, Iran’s exports in February have averaged 1.25 million bpd so far, while the January exports were between 1.1 million bpd and 1.3 million bpd, higher than the previously expected below 1-million-bpd level, which was seen in December.While tracking Iran’s oil exports has become an increasingly difficult task after the U.S. sanctions returned in early November, some of the key Iranian oil customers that received U.S. waivers resumed buying Iran’s oil in 2019 or increased imports to their respective ceiling allowed under the waivers, after an initial ‘wait-and-see mode’ for November and December purchases amid uncertainties who is getting waivers.



Iran’s key Asian customers—Japan, South Korea, India, and China—are all buying Iranian crude once again, but at much lower rates than they did before November when U.S. sanctions kicked in, S&P Global Platts estimates showed at the end of January.According to the S&P Global Platts calculations, the rate at which India, Japan, and South Korea are importing Iranian crude at the moment, is at least half lower than the rate from before the sanctions went into effect.Related: The Biggest Problem Behind The U.S. Shale BoomIndia and China are Iran’s largest crude oil buyers, accounting for 80 percent of the country’s oil exports to Asia, which, in total, constituted half of Iran’s overall oil exports. Now, as the sanction waiver window narrows, S&P Global Platts analysts expect Iran’s oil exports to fall to 1.2 million bpd over the first four months of 2019, and further slump to 860,000 bpd in the fourth quarter of the year. This compares with an average 2.7 million bpd in the first few months of 2018, before President Trump pulled the United States out of the so-called Iran nuclear deal last May.



As the ‘waivers window’ will be shrinking ahead of the end of the 180-day waiver period in early May, buyers could be rushing to buy what they can before April in order to be able to complete transactions before May in case waivers are not extended, according to analysts.The U.S. has signaled that Iranian customers shouldn’t rely on waivers extensions, but the Trump Administration has not yet officially said if it would stop granting waivers. Some observers say that the decision would depend on the price of oil at the time the U.S. needs to decide about exemptions, because, despite the pledge for ‘zero’ Iranian exports, the Administration will not be willing to drive up oil prices too high.  By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Where Will Putin Build His Next Gas Pipeline?Why The Oil Rally Isn’t Over YetDoes Saudi Arabia Really Have As Much Oil As Analysts Think?


",
735,"

The fate of a proposed mega refinery and petrochemical complex in India worth US$44 billion and involving the national oil companies of Saudi Arabia and the UAE could depend on the outcome of India’s general elections this spring and whether the party of incumbent Prime Minister Narendra Modi could win a second term in office.In June last year, Saudi Aramco and the Abu Dhabi National Oil Company (ADNOC) signed a framework agreement and a memorandum of understanding with a consortium of Indian national oil companies to join the mega project at Ratnagiri in the Maharashtra state on India’s west coast. Saudi Aramco and ADNOC will jointly own 50 percent of the new joint venture company RRPCL, while the other 50 percent will be held by the Indian consortium. The parties agreed to explore a strategic partnership and co-investment in the development of the US$44 billion mega refinery.  By investing in the giant Indian refinery, the national oil companies of leading OPEC producers Saudi Arabia and the UAE would secure off-take for their crude in a strategic fast-growing oil market in Asia. 



However, the process of land acquisition for the new giant complex was put on hold late last year due to strong opposition from local farmers, many of whom depend on their land for their income and livelihoods.On Monday, the chief minister of Maharashtra state, Devendra Fadnavis, announced that the planned refinery would be relocated to another site, without specifying it.Related: U.S.-China Trade Deal Could Boost Gasoline PricesFadnavis, a member of Prime Minister Modi’s Bharatiya Janata Party (BJP), made the announcement after sealing an alliance for the general election with regional party Shiv Sena, which has opposed the proposed refinery.



The completion of the refinery carries a lot of political risk, and it would also depend on who wins the next election or who makes it in a coalition government, Sri Paravaikkarasu, an analyst at industry consultant FGE in Singapore, told Bloomberg.According to Ratnagiri Refinery & Petrochemicals Ltd (RPPL), the joint venture company responsible for the huge 1.2 million bpd complex construction and development, the refinery is expected to be commissioned by the year 2025.According to FGE, the first phase could be ready in 2027-2028, and even this could be an optimistic timeline, considering the recent developments, Paravaikkarasu told Bloomberg.    By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Where Will Putin Build His Next Gas Pipeline?Why The Oil Rally Isn’t Over YetDoes Saudi Arabia Really Have As Much Oil As Analysts Think?


",
736,"

TransCanada has applied with the National Energy Board of Canada for permission to start transporting natural gas from the west of the country to New Brunswick in the east, using existing pipeline infrastructure, CBC reports, adding the company has won the support of Enbridge and Irving Oil, the two largest gas retailers in New Brunswick.According to the general manager of Enbridge, Gilles Volpe, the move could cut consumers’ gas bills by as much as 30-40 percent. The plan, Volpes said, “ gives access to more capacity, and more access to the Alberta-based natural gas. That natural gas is plentiful, of course, but it's also very stable from a price point of view.""



Enbridge has already signed a contract for the deliveries of natural gas from Alberta to the East for 20.5 years beginning in 2021. Irving Oil has also signed a contract, with deliveries beginning this November.""EGNB [Enbridge Gas New Brunswick] does not have access to local supply, nor local natural gas storage facilities to meet its franchise needs at this time and considers [gas from the west] as a valuable asset in meeting the needs of Atlantic Canada long term,"" said Volpe.



Previously, New Brunswick got its gas from offshore fields in Nova Scotia, but production there was shut down last year, leaving Alberta as the natural replacement for supplies of the fuel.TransCanada’s idea to use existing pipelines to ship gas from the West to the East comes after the company dropped its plans for the Energy East pipeline that would have shipped Alberta crude oil to the east.The company cited regulatory tightening as reason for its decision to give up Energy East. Environmentalist opposition to any new pipeline projects also helped tip the scales against Energy East. But the decision has opened up spare capacity that could be used to transport gas and keep its price low enough to make it competitive. By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Does Saudi Arabia Really Have As Much Oil As Analysts Think?Flurry Of Bullish News Boosts Oil PricesSaudi Arabia Boosts Pakistan Energy Relations With $20 Billion Pledge


",
737,"

Citgo, the U.S. unit of Venezuela’s PDVSA, has removed from their positions four top executives as the battle for control over the company between the Maduro government and the opposition, led by Juan Guaido, heats up.Reuters quotes unnamed sources as saying the executives who were removed were close to the Venezuelan President. The move is part of the opposition’s attempt to seize control over the profitable business. Earlier this month, Guaido said he and his interim government were preparing a whole new board of directors for Citgo as well as for PDVSA.All of the executives who were removed from their positions are Venezuelans, one of them a cousin of late Venezuelan President Hugo Chavez.



Meanwhile, the families of the so-called Citgo Six—company executives jailed in Venezuela two years ago on allegations of corruption—have spoken up, saying their relatives were held in overcrowded conditions.The executives, including then-president Jose Angel Pereira, were accused of embezzlement after they proposed to refinance about US$4 billion in Citgo-issued debt by using a 50-percent stake in the company as collateral.According to one Citgo employee, as quoted by the Daily Mail, the families of the jailed executives received no support from the company despite terms in their contracts stipulating they had the right to such support.



Citgo is the eight-largest refining company in the United States, accounting for about 4 percent of the national refining capacity. It is also, understandably, the largest buyer of Venezuelan crude oil in the United States.The company was swept into the political chaos reigning in Venezuela after Juan Guaido, President of the opposition-dominated National Assembly, declared himself interim president saying the latest elections that saw Maduro win a second term in office rigged and calling for a new vote. Guaido has received the support of the U.S., Canada, most South American countries, and the EU. By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:‘’Lower Your Costs, Or Die’’ Big Oil’s New MantraSaudi Arabia Boosts Pakistan Energy Relations With $20 Billion PledgeOil Prices Near Three-Month High As Market Tightens


",
738,"

Norway’s Equinor plans to start exploratory drilling offshore Australia next year, the company said in the draft environmental plan it released today for public comment as part of efforts to assuage worries that oil exploration in the Great Australian Bight could cause an environmental disaster.The draft is also a mandatory part of the regulatory approval process for the project, which the Norwegian company took over from BP two years ago when the UK-based supermajor decided it had enough regulatory and public opposition problems in Australia and pulled out of the Great Australian Bight.



“We have made the draft EP available to members of the community and we will take all comments into consideration before updating our EP and submitting it to the independent regulator. This draft EP is the result of more than two years of careful preparation and our 1500-page plan demonstrates how we can drill safely and includes a robust emergency response plan,” Equinor’s country manager for Australia, Jone Strangeland, said.Opposition, however, remains strong. Last year, environmentalist media reported that Greenpeace had obtained a draft Oil Pollution Emergency Plan from the Norwegian company that confirmed some of their worst fears: in the worst possible scenario, a spill from a gushing well could spread along all of Australia’s southern coast and even reach Sydney, threatening a sensitive ecosystem including endangered species.



Reuters notes there has been no oil and gas exploration in the Great Australian Bight since 2003 and all the wells drilled in the region previously had come up dry. However, Wood Mackenzie estimates suggest that the area could hold 1.9 billion barrels of crude oil and natural gas. Equinor, used to operating in harsh climatic environments, could be better suited than BP and Chevron to try its hand at the Great Australian Bight, but the go-ahead is far from certain given the strong opposition. By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Bank Of America: Oil ‘Anchored’ Until 2024How Trump And Kim Jong Un Could Boost Vietnam's Energy SectorU.S.-China Trade Deal Could Boost Gasoline Prices


",
739,"

Tesla has removed all information it had about its Model 3 standard version on its website and some fans of the brand are panicking, Electrek’s Fred Lambert reports.It was this base Model 3 with a standard battery pack that was supposed to be Tesla’s “secret weapon” on the car market, the affordable luxury electric vehicle that would solidify and boost Tesla’s dominance in its niche market and spread it over into the mainstream car market. However, this might have to wait.Lambert quotes CEO Elon Musk comments about the base Model 3 made during the company’s Q4 financial results conference call that suggest the base model could be made available to buyers later this year but, as per Musk “it’s a rough, rough guess.”



The problem is the cost, as is so often the case. The affordable Tesla has been promoted with a price tag of just US$35,000, but right now the cheapest version of the Model 3 costs US$42,000 and that’s after a price reduction. Tesla has more work to do on the car to lower the cost to US$35,000 and it said on its website that this would take “4 to 6 months.” Now, this information has been removed from the website, causing some fans of the brand who had pre-ordered a Model 3 to worry.This is hardly the first time Tesla’s CEO had had fans worried and will hardly be the last. Elon Musk is notorious for setting tight deadlines for this or that milestone in Tesla and then going into delays when the deadlines prove unrealistic. This could the case here as well: bringing the starting price of a base Model 3 down to US$35,000 is certainly a challenge. However, there is a possibility Tesla will not overcome it.Related: How Trump And Kim Jong Un Could Boost Vietnam's Energy Sector



In his report on the removal of base Model 3 info from the website, Electrek’s Lambert quoted a tweet from Musk from early February that said the base Model 3 will cost US$35,000 after incentives. But the company had initially said it would cost US$35,000 before incentives, again sparking worry.The crux of the matter is the battery pack. Tesla needs to bring the cost of the Model 3 standard battery pack down further if it is to accomplish its US$35,000 goal. This is apparently proving harder to do than originally expected.By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:‘’Lower Your Costs, Or Die’’ Big Oil’s New MantraSaudi Arabia Boosts Pakistan Energy Relations With $20 Billion PledgeOil Prices Near Three-Month High As Market Tightens


",
740,"

Saudi Arabia’s crude oil exports plunged by nearly 550,000 bpd to 7.687 million bpd in December 2019, down from a two-year high in November, as the Kingdom started to limit supply after the U.S. granted waivers to eight Iranian customers and the market swung into oversupply. According to data by the Joint Organisations Data Initiative (JODI) database, which collects self-reported figures from 114 countries, the Saudi oil production also dropped in December—to 10.6 million bpd from an all-time high of 11.09 million bpd in November.  In November, Saudi Arabia’s crude oil exports had jumped by 534,000 bpd month on month to 8.24 million bpd—the highest level in two years as the Kingdom moved to offset supply losses from Iran with the return of the U.S. sanctions on Tehran’s oil industry.



The month before that, Saudi Arabia had increased its October crude oil exports to what was then the highest level since January 2017, when the initial OPEC/non-OPEC production cut deal began.But after the U.S. granted waivers to eight key Iranian oil customers to continue importing oil from Iran until early May this year, Saudi Arabia and its allies at OPEC and non-OPEC Russia pared back production as the market started to fear a growing oversupply amid uncertain demand growth.Related: U.S.-China Trade Deal Could Boost Gasoline PricesAs a result, OPEC and its Russia-led non-OPEC partners agreed to a new production cut deal in early December, targeting to remove 1.2 million bpd from the market between January and June this year, with Iran, Venezuela, and Libya exempted from cuts due to their ‘special circumstances.’



Saudi Arabia has reduced production more than its share of the cuts and has recently signaled that it would cut crude oil production and exports even deeper next month.In an interview with the Financial Times published last week, Saudi Arabia’s Energy Minister Khalid al-Falih said that the Saudis would cut production to around 9.8 million bpd in March, some 500,000 bpd below the commitment in the OPEC+ deal. Saudi Arabia would be cutting its crude oil exports to near 6.9 million bpd next month, slashed from 8.2 million bpd just three months ago.  By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Why The Oil Rally Isn’t Over YetBank Of America: Oil ‘Anchored’ Until 2024How Trump And Kim Jong Un Could Boost Vietnam's Energy Sector


",
741,"

OPEC’s production cuts and the U.S. sanctions on Venezuela and Iran have been limiting the availability of heavy and sour crude grades to Europe, where prices for heavier grades have recently shot up amid an increasingly tightening market, crude traders tell S&P Global Platts.The U.S. sanctions on Iran had already limited some of the heavy grade supply into Europe. Then with the new round of OPEC/non-OPEC cuts that began in January, Iraq’s Basra Light and Heavy—typically very popular among European refiners—have also been in short supply on the spot market in Europe as Iraq is diverting more barrels of Basra to the premium market for Middle Eastern producers: Asia.  “There are no destination-free Basrah cargoes at the moment coming to Europe for the end of February as they’re targeting Asia,” a crude trader told Platts.



To top off the sanctions on Iran and the OPEC cuts, the U.S. sanctions on Venezuela at the end of January further tightened the heavy crude market in Europe, and traders expect the market to tighten even more in the coming months.The sanctions on Venezuela and on Iran, as well as OPEC’s cuts, have led to a huge imbalance between light sweet grades and heavy sour grades, especially in Europe, as Middle Eastern and other oil producers are targeting to keep their sales on the Asian market.Due to tighter supply of medium and heavy sour crude oil, Middle Eastern benchmarks for sour crude grades traded higher than Brent Crude prices at the beginning of February in a rarely seen development in global oil prices.



In Europe, some sour crude grades, such as Russia’s Urals, have started to trade at premiums to sweeter crudes because of the limited sour and heavy crude availability, according to S&P Global Platts data.“Urals is at positive numbers, Basrah is trading at dramatic premium to OSP and I don’t see why sour should soften, demand is there but there is not much available,” a trader told Platts.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Bank Of America: Oil ‘Anchored’ Until 2024U.S.-China Trade Deal Could Boost Gasoline PricesHow Trump And Kim Jong Un Could Boost Vietnam's Energy Sector


",
742,"

Engineers from Scotland and Italy have developed a new wave energy technology that could generate low-cost electricity for thousands of homes.Engineers from the University of Edinburgh and from several universities in Italy have designed, developed, and tested a device that costs less than conventional designs and that can be incorporated into existing ocean systems, the University of Edinburgh has said in a statement, describing the scientists’ study published in the Proceedings of the Royal Society A scientific magazine.The ocean and sea waves can provide a source of renewable energy, but few wave energy converters have moved past pre-commercial stage because of the high costs and the often harsh marine environment, the authors of the paper argue.



So they designed the so-called Dielectric Elastomer Generator (DEG) using flexible rubber membranes. The device is cheaper than conventional designs, has fewer moving parts, and uses durable materials, the engineers say.The device was designed to be placed on top of a vertical tube in the sea. As sea waves pass the tube, the water inside it pushes trapped air above to inflate and deflate the generator placed on top of the device.“As the membrane inflates, a voltage is generated. This increases as the membrane deflates, and electricity is produced. In a commercial device, this electricity would be transported to shore via underwater cables,” the University of Edinburgh said.



The engineers carried out water tests on a smaller scale in a circular tank reproducing any combination of currents and ocean waves. According to the scientists, the device could replace expensive moving parts and complex air turbines.“Wave energy is a potentially valuable resource around Scotland’s coastline, and developing systems that harness this could play a valuable role in producing clean energy for future generations,” Professor David Ingram of the University of Edinburgh’s School of Engineering said.  By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:The Biggest Problem Behind The U.S. Shale BoomFlurry Of Bullish News Boosts Oil PricesHow Long Will This Oil Rally Last?


",
743,"

Iran has launched the third phase of a new refinery, making the country self-sufficient in gasoline production, Iranian Oil Minister Bijan Zangeneh said on Monday.At the opening ceremony of the third phase of the Bandar Abbas Gas Condensate Refinery, also called the Persian Gulf Star Refinery, the minister said that Iran’s gasoline production had more than doubled since 2013.Despite holding large crude oil reserves, the Islamic Republic have been importing gasoline for its domestic needs for years, because under the previous Western sanctions, it couldn’t buy spare parts for refinery equipment and maintenance, and because of its low gasoline production capacity.



Last year, before the U.S. withdrew from the Iran nuclear deal imposing new sanctions on Iran, the Islamic Republic was making progress in cutting its gasoline imports and had set gasoline self-sufficiency as a high priority.Most of Iran’s imports came from refiners in India, Southeast Asia, and North Asia. Back in April last year, Iran was aiming to end imports of gasoline by the end of 2018.The three phases of the Persian Gulf Star Refinery, when completed, were expected to produce a total of 55 percent of Iran’s gasoline, in addition to 13.5 million liters per day of diesel.



Speaking at the inauguration of the new refinery unit on Monday, Zangeneh said, as quoted by the oil ministry’s news service Shana:“Today, contrary to what was the case a decade ago that petrol imports could be subject to the sanctions, we are no longer an importer of the item and can even become a petrol exporter and the US cannot have a word to say in this regard.”  Iran could export some of the gasoline, but it will not do it because it wants to boost its domestic stockpiles of the product, the oil minister added, as carried by Shana.  By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Fifty Shades Of Shale OilEmerging ‘Quality’ Problem To Haunt Oil Markets2 Reasons Why Big Oil Isn’t Rushing Into Renewables


",
744,"

An Austrian natural gas expert has warned Washington and Kremlin they have to set their priorities straight and focus their efforts on reducing the world’s carbon emissions rather than growing their market share on the European gas market.Bloomberg quotes Nebojsa Nakicenovic as saying “We need to be at zero emissions by mid century,” warning there was no time to waste on less important, according to him, issues such as who sells how much natural gas to European consumers.



Nakicenovic was half a century ago a member of a joint U.S-Russian research institute on energy set up to seek ways to avoid an energy crisis. At the time, Nakicenovic and his colleagues at the institute in a way facilitated the natural gas boom in both countries by revising the world’s natural gas resources and in the process fixing the wrong estimates made by the CIA at the time.But now, according to the scientist, the time to lean on gas for energy security is over and what the world needs to do is move away from this and all other fossil fuels.



Nakicenovic is not the only one warning that the time to act is now. Some even believe we have gone beyond the point of no return in climate change and whatever we do now will be too little too late. Yet, in geopolitics natural gas markets and particularly the European gas market remains an important playing field.Russia’s Gazprom has a 40-percent market share in Europe and Trump’s administration wants to challenge that with U.S. LNG exports, which are set to grow substantially over the next few years as more production capacity comes on stream.“Infrastructure is important insomuch as it provides the resilience to the system,” Nakicenovic said during a speech  at the American Association for the Advancement of Science. “More fragmentation through my country first policies,” he added, may have an adverse effect on this resilience. By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Does Saudi Arabia Really Have As Much Oil As Analysts Think?Oil Prices Near Three-Month High As Market TightensFlurry Of Bullish News Boosts Oil Prices


",
745,"

Russia’s gas giant Gazprom will begin natural gas deliveries to China via the Power of Siberia pipeline ahead of schedule, as early as December 1, 2019, Alexey Miller, Chairman of Gazprom’s Management Committee, has said on a recent visit to China.The Power of Siberia natural gas pipeline was initially expected to start sending gas to China on December 20, 2019, and its completion is among Gazprom’s top priorities.After talks in Beijing with officials of CNPC—with which Gazprom has a 30-year contract for the supply of an annual 1.3 trillion cu ft of natural gas via the Power of Siberia pipeline—Miller said:



“Construction of the Power of Siberia gas pipeline is going ahead of schedule, and Gazprom will start delivering gas to China well in advance, as early as December 1, 2019.”The Power of Siberia gas pipeline will transport natural gas from the Irkutsk and Yakutia production centers to consumers in Russia’s Far East and to China.Gazprom is dominating gas supplies to many European markets while it also vies to meet the surging Chinese natural gas demand as the country is in the middle of a massive switch from coal-fired to gas-fired heating in millions of homes.



In 2018, China’s natural gas imports—including pipeline and liquefied natural gas (LNG) imports—soared by nearly 32 percent from 2017 to a record 90.39 million tons, solidifying China’s position as the world’s biggest importer of the fuel.China became the world’s top natural gas importer—including LNG and pipeline—in October last year, overtaking Japan which imports all its gas as LNG.According to Platts Analytics, China—currently the world’s second-largest LNG importer behind Japan—is set to overtake Japan as the top global LNG importer by 2022 as China will continue to be the largest growth factor behind global LNG demand growth.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Oil Jumps As Saudis Plan Further Production CutsThe Biggest Threat To Oil Market StabilityIs A Natural Gas Cartel Forming?


",
746,"

Indian Oil Corp., the country’s largest oil refiner, has signed its first annual contract for deliveries of crude oil from the United States, Reuters reports, citing a statement by the company’s chairman.IOC will buy an average of 60,000 bpd for a total price of US$1.5 billion in the year to March 2020. The seller is Norway’s Equinor. Previously, Indian Oil Corp. had only bought U.S. crude on the spot market. Last year, Reuters recalls, the company bought 6 million barrels of U.S. crude under a mini-term deal for the period November to January this year.



Most of the oil the refiner imports, however, comes from OPEC under long-term deals, at 75 percent. While this has been the traditional approach, now the company wants to diversify its sources of the commodity, especially in light of the increasingly difficult geopolitical situation.“Lots of geopolitical issues are going around. We expect lots of volume going away from Venezuela, west Africa and Iran, so it makes sense to have guaranteed term supplies from the U.S., where crude production is increasing,” FGE analyst Sri Paravaikkarasu told Reuters.



However, right now India is taking more oil from Venezuela. This month, the country became the largest importer of Venezuelan crude, receiving it at a daily rate of over 600,000 bpd over the first two weeks of February, or up 66 percent from a month ago. The biggest buyers of Venezuelan crude were Reliance Industries and Nyara Energy, in which Rosneft holds a 49-percent stake.Crude oil source diversification is particularly important for India, which is one of the biggest drivers for global oil demand growth. Last month, Wood Mackenzie forecast India’s oil demand will this year continue growing at a rate of 245,000 bpd, the same as last year, when it accounted for 14 percent of global growth. By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Fifty Shades Of Shale Oil2 Reasons Why Big Oil Isn’t Rushing Into RenewablesOPEC’s Next Big Crisis


",
747,"

Gazprombank has reportedly frozen accounts held by Venezuela’s state oil company PDVSA and has stopped conducting transactions involving these accounts on concern of getting penalized under the latest round of U.S. sanctions against PDVSA, Reuters wrote, quoting an unnamed source from the bank.The report follows another one from last week, which said PDVSA was telling the buyers of oil produced by its joint ventures to deposit the money for purchases in a new bank account recently opened at Russia’s Gazprombank.



The report, by Reuters, which said it had seen an internal document pointing in that direction, followed statements from the Venezuelan opposition—whose leader and President of the National Assembly declared himself interim president last month—that a special fund will be set up in the United States where proceeds from the sale of Venezuelan crude would go.However, to make matters more interesting, Gazprombank was quick to deny the Reuters report. RT quoted the bank as saying, “No new accounts have been opened,” adding that the Reuters report “does not reflect the actual situation.” Yet the bank also said PDVSA had several accounts in it, although all of them were opened several years ago.



This time, Gazprombank has not replied to a Reuters request for comment while PDVSA was quick to call the report “fake news” on Twitter. Yet Reuters’ reporters note Russian companies are wary of falling under secondary sanctions for doing direct business with PDVSA, despite the Kremlin’s official support for the Maduro government.Venezuela is still producing over a million barrels of crude daily, but finding buyers for the oil is becoming harder. Since the sanctions went into effect, exports to the U.S. effectively stopped but shipments to India increased: imports there went up by 66 percent to 620,000 bpd, making India the biggest importer of Venezuelan crude. By Irina Slav for Oilprice.comMore Top Reads From Oilprice.com:Are Saudi Arabia’s Renewable Ambitions Realistic?How Long Will This Oil Rally Last?China Plans To Build Space Solar Station


",
